"","team","mean","sd","positive","negative","overall","total"
"1","mufc",0.264348654441534,1.71637713133378,1013,507,67,1520
"2","manchester united",1,1.11803398874989,3,0,100,3
"3","reddevil",0.558823529411765,1.07847188386071,4,0,100,4
"4","manu",0.407725321888412,4.20437401741139,223,157,59,380
"5","ggmu",0.513925890046016,2.47827035429223,713,247,74,960
