"","team","mean","sd","positive","negative","overall","total"
"1","mancity",0.527576818358615,1.63729042412479,2054,429,83,2483
"2","manchestercity",1.26226734348562,3.5017768534913,483,110,81,593
"3","manchesterisblue",0.387434554973822,2.07659874102358,30,15,67,45
"4","thecitizens",0.692307692307692,2.28708749958746,1,0,100,1
"5","mcfc",0.577371824788319,1.83914336751263,2527,615,80,3142
